Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_History_Age,Total_EMI_per_month,Payment_Behaviour,Monthly_Balance,Credit_Score
35.0,26,23357.0,2008.0,4.0,5.0,7.0,4.0,15.0,17.0,5.0,2.0,1290.0,6.0,44.0,5.0,339.0,1.0
35.0,23,101641.0,8283.0,5.0,3.0,13.0,3.0,16.0,24.0,9.0,2.0,631.0,13.0,171.0,5.0,555.0,1.0
32.0,17,75175.0,6492.0,4.0,1.0,7.0,2.0,3.0,10.0,4.0,3.0,170.0,19.0,100.0,1.0,401.0,2.0
42.0,10,16084.0,1514.0,7.0,10.0,25.0,6.0,21.0,29.0,12.0,1.0,3647.0,6.0,60.0,2.0,248.0,1.0
15.0,4,20082.0,1470.0,7.0,7.0,31.0,5.0,22.0,7.0,8.0,1.0,1549.0,19.0,52.0,1.0,308.0,1.0
45.0,27,20261.0,1598.0,7.0,7.0,16.0,7.0,18.0,9.0,6.0,1.0,1300.0,14.0,96.0,1.0,228.0,0.0
29.0,21,17024.0,1454.0,3.0,4.0,12.0,6.0,18.0,15.0,12.0,2.0,1473.0,0.0,74.0,3.0,300.0,1.0
38.0,22,95956.0,8279.0,8.0,4.0,11.0,2.0,10.0,11.0,2.0,2.0,1079.0,31.0,95.0,5.0,717.0,1.0
18.0,15,57786.0,4686.0,6.0,6.0,32.0,6.0,21.0,18.0,7.0,2.0,1730.0,14.0,271.0,6.0,340.0,1.0
41.0,15,64692.0,5643.0,2.0,4.0,12.0,0.0,9.0,1.0,2.0,3.0,1267.0,15.0,0.0,5.0,610.0,2.0
53.0,13,66174.0,5263.0,8.0,7.0,18.0,4.0,9.0,4.0,4.0,2.0,951.0,20.0,150.0,1.0,51.0,1.0
40.0,22,24446.0,1813.0,4.0,7.0,20.0,1.0,7.0,9.0,5.0,2.0,760.0,0.0,15.0,5.0,378.0,1.0
45.0,21,9856.0,754.0,6.0,5.0,23.0,6.0,14.0,8.0,10.0,2.0,1455.0,0.0,28.0,4.0,289.0,1.0
47.0,16,115023.0,9801.0,3.0,4.0,1.0,2.0,4.0,0.0,4.0,3.0,1143.0,20.0,108.0,1.0,140.0,2.0
19.0,27,21129.0,1852.0,5.0,5.0,6.0,0.0,10.0,5.0,1.0,3.0,886.0,21.0,0.0,3.0,298.0,0.0
46.0,15,39296.0,3261.0,5.0,1.0,1.0,4.0,9.0,6.0,3.0,3.0,187.0,0.0,124.0,5.0,375.0,2.0
25.0,22,48423.0,4044.0,8.0,5.0,27.0,9.0,24.0,12.0,7.0,1.0,1619.0,11.0,241.0,4.0,296.0,1.0
34.0,20,108115.0,9022.0,6.0,5.0,18.0,3.0,14.0,1.0,0.0,2.0,1149.0,0.0,206.0,1.0,137.0,1.0
27.0,20,80288.0,6961.0,7.0,10.0,32.0,6.0,19.0,17.0,8.0,1.0,2848.0,12.0,400.0,6.0,450.0,1.0
54.0,22,71878.0,6072.0,2.0,1.0,5.0,2.0,7.0,11.0,0.0,3.0,664.0,31.0,88.0,2.0,570.0,2.0
34.0,13,14075.0,876.0,7.0,10.0,19.0,5.0,23.0,17.0,17.0,1.0,1333.0,13.0,31.0,1.0,288.0,1.0
33.0,10,28108.0,2591.0,3.0,4.0,18.0,4.0,12.0,12.0,7.0,2.0,597.0,14.0,57.0,3.0,316.0,1.0
45.0,22,17059.0,1574.0,9.0,5.0,26.0,4.0,16.0,8.0,11.0,1.0,2380.0,11.0,30.0,1.0,337.0,0.0
20.0,17,13506.0,1369.0,3.0,5.0,12.0,0.0,10.0,14.0,8.0,2.0,945.0,6.0,0.0,1.0,283.0,1.0
42.0,15,17393.0,1230.0,7.0,8.0,23.0,7.0,20.0,0.0,6.0,1.0,1396.0,15.0,101.0,2.0,238.0,0.0
16.0,4,41516.0,3368.0,8.0,8.0,17.0,5.0,17.0,8.0,11.0,1.0,1597.0,20.0,142.0,5.0,378.0,1.0
49.0,4,95267.0,7974.0,6.0,5.0,13.0,2.0,13.0,10.0,3.0,2.0,586.0,0.0,113.0,6.0,794.0,1.0
24.0,18,61016.0,5090.0,4.0,3.0,3.0,1.0,10.0,11.0,6.0,3.0,988.0,31.0,49.0,1.0,389.0,2.0
19.0,10,59885.0,5057.0,8.0,3.0,21.0,4.0,12.0,9.0,7.0,2.0,2100.0,17.0,118.0,6.0,511.0,0.0
42.0,10,20501.0,1731.0,7.0,3.0,19.0,3.0,10.0,18.0,6.0,2.0,2012.0,7.0,41.0,6.0,330.0,1.0
41.0,4,10542.0,1082.0,7.0,6.0,19.0,4.0,10.0,5.0,0.0,2.0,528.0,17.0,25.0,3.0,302.0,1.0
35.0,17,89417.0,7170.0,7.0,4.0,19.0,0.0,10.0,15.0,4.0,2.0,330.0,25.0,0.0,2.0,472.0,1.0
15.0,18,76801.0,6387.0,8.0,7.0,13.0,6.0,16.0,12.0,5.0,2.0,1172.0,7.0,260.0,4.0,443.0,1.0
44.0,22,27597.0,2135.0,6.0,4.0,13.0,1.0,12.0,1.0,4.0,2.0,1353.0,17.0,18.0,5.0,375.0,1.0
53.0,10,73455.0,6367.0,8.0,4.0,7.0,2.0,8.0,1.0,7.0,2.0,833.0,29.0,86.0,4.0,668.0,1.0
23.0,21,19286.0,1703.0,9.0,9.0,20.0,6.0,19.0,28.0,14.0,1.0,4019.0,9.0,66.0,1.0,243.0,0.0
47.0,26,28587.0,2621.0,4.0,1.0,7.0,0.0,2.0,1.0,0.0,3.0,1496.0,24.0,0.0,1.0,422.0,2.0
17.0,24,75857.0,6596.0,6.0,5.0,31.0,9.0,23.0,-2.0,11.0,1.0,4673.0,3.0,485.0,6.0,261.0,0.0
23.0,21,23035.0,1901.0,6.0,7.0,17.0,5.0,16.0,19.0,4.0,2.0,954.0,7.0,91.0,3.0,292.0,1.0
50.0,18,44708.0,3653.0,3.0,1.0,11.0,0.0,4.0,11.0,4.0,3.0,352.0,20.0,0.0,6.0,513.0,2.0
23.0,12,17097.0,1461.0,3.0,4.0,10.0,5.0,9.0,7.0,6.0,2.0,948.0,17.0,49.0,1.0,222.0,1.0
16.0,4,47765.0,3830.0,5.0,3.0,12.0,0.0,9.0,13.0,4.0,2.0,1447.0,19.0,0.0,5.0,516.0,1.0
41.0,19,8856.0,989.0,6.0,5.0,29.0,5.0,16.0,18.0,8.0,1.0,2034.0,6.0,35.0,2.0,243.0,0.0
20.0,16,107288.0,9025.0,6.0,3.0,18.0,4.0,14.0,6.0,2.0,2.0,1258.0,28.0,346.0,6.0,725.0,1.0
26.0,19,62115.0,5064.0,3.0,7.0,17.0,5.0,18.0,14.0,10.0,2.0,1724.0,7.0,234.0,4.0,343.0,1.0
47.0,23,73031.0,5912.0,7.0,4.0,6.0,2.0,14.0,3.0,2.0,2.0,997.0,21.0,63.0,6.0,673.0,1.0
39.0,18,20062.0,1433.0,7.0,7.0,17.0,1.0,13.0,8.0,0.0,2.0,769.0,16.0,8.0,3.0,323.0,1.0
30.0,19,32488.0,2456.0,7.0,7.0,25.0,6.0,10.0,8.0,12.0,2.0,2561.0,7.0,82.0,5.0,376.0,0.0
53.0,20,125873.0,10669.0,,6.0,12.0,2.0,7.0,11.0,4.0,3.0,446.0,26.0,183.0,6.0,887.0,1.0
46.0,12,22961.0,2138.0,8.0,6.0,18.0,2.0,17.0,6.0,1.0,2.0,1253.0,29.0,22.0,5.0,393.0,1.0
16.0,22,54838.0,4336.0,9.0,5.0,31.0,3.0,12.0,22.0,8.0,2.0,2111.0,8.0,108.0,4.0,473.0,1.0
32.0,15,58892.0,5106.0,3.0,4.0,17.0,3.0,20.0,14.0,6.0,2.0,666.0,0.0,118.0,5.0,562.0,1.0
40.0,22,16108.0,1334.0,10.0,7.0,25.0,6.0,19.0,7.0,7.0,1.0,1446.0,7.0,74.0,2.0,245.0,0.0
36.0,16,109782.0,9439.0,4.0,4.0,19.0,2.0,10.0,7.0,0.0,2.0,426.0,0.0,92.0,6.0,916.0,1.0
25.0,16,31937.0,2394.0,5.0,3.0,15.0,2.0,11.0,17.0,10.0,2.0,1934.0,9.0,35.0,1.0,280.0,0.0
39.0,26,35760.0,2904.0,8.0,8.0,33.0,6.0,19.0,6.0,11.0,1.0,1656.0,11.0,99.0,2.0,315.0,1.0
22.0,16,33911.0,2999.0,3.0,5.0,14.0,1.0,9.0,7.0,3.0,2.0,459.0,19.0,23.0,5.0,474.0,1.0
23.0,17,106824.0,9088.0,5.0,6.0,13.0,3.0,20.0,11.0,7.0,2.0,704.0,17.0,263.0,3.0,328.0,1.0
23.0,4,38038.0,3011.0,2.0,3.0,10.0,2.0,0.0,8.0,1.0,3.0,298.0,26.0,38.0,4.0,428.0,0.0
42.0,12,57610.0,4517.0,8.0,10.0,25.0,9.0,23.0,21.0,7.0,1.0,4428.0,1.0,256.0,5.0,310.0,0.0
38.0,4,9126.0,490.0,10.0,7.0,33.0,5.0,22.0,21.0,12.0,1.0,,9.0,33.0,1.0,264.0,0.0
25.0,18,18393.0,1742.0,9.0,10.0,29.0,5.0,17.0,21.0,10.0,1.0,2604.0,4.0,62.0,5.0,338.0,0.0
41.0,27,62086.0,5316.0,7.0,4.0,16.0,2.0,19.0,4.0,7.0,2.0,1286.0,32.0,57.0,3.0,391.0,1.0
19.0,15,20436.0,1785.0,1.0,3.0,7.0,2.0,1.0,4.0,6.0,3.0,783.0,22.0,20.0,2.0,370.0,1.0
54.0,27,29485.0,2644.0,6.0,7.0,2.0,0.0,13.0,4.0,4.0,3.0,679.0,18.0,0.0,5.0,421.0,0.0
28.0,26,28754.0,2479.0,4.0,5.0,11.0,3.0,17.0,12.0,3.0,2.0,1175.0,17.0,66.0,4.0,300.0,1.0
29.0,17,31632.0,2421.0,2.0,3.0,9.0,3.0,9.0,3.0,2.0,3.0,73.0,32.0,59.0,2.0,386.0,2.0
28.0,20,38269.0,3010.0,3.0,1.0,9.0,1.0,14.0,7.0,3.0,3.0,1144.0,20.0,26.0,1.0,327.0,2.0
20.0,26,7314.0,794.0,10.0,6.0,31.0,4.0,24.0,6.0,6.0,1.0,2096.0,19.0,18.0,1.0,252.0,0.0
21.0,16,76154.0,6433.0,7.0,8.0,26.0,6.0,23.0,3.0,9.0,1.0,2144.0,13.0,321.0,6.0,424.0,0.0
35.0,26,14390.0,1000.0,9.0,10.0,26.0,2.0,19.0,2.0,12.0,1.0,1327.0,15.0,18.0,2.0,273.0,1.0
22.0,4,16579.0,1485.0,7.0,6.0,12.0,2.0,12.0,13.0,7.0,2.0,1467.0,0.0,16.0,6.0,360.0,1.0
42.0,21,53876.0,4566.0,8.0,7.0,19.0,5.0,12.0,19.0,10.0,2.0,1341.0,0.0,168.0,5.0,415.0,0.0
24.0,21,29404.0,2359.0,6.0,7.0,9.0,1.0,20.0,7.0,2.0,3.0,1288.0,23.0,22.0,2.0,274.0,2.0
38.0,22,14224.0,1395.0,8.0,6.0,13.0,1.0,10.0,8.0,1.0,2.0,1343.0,32.0,7.0,1.0,235.0,1.0
40.0,20,47523.0,4123.0,6.0,9.0,16.0,7.0,13.0,7.0,8.0,2.0,2101.0,7.0,273.0,5.0,281.0,0.0
46.0,17,42072.0,3263.0,3.0,6.0,9.0,3.0,5.0,12.0,2.0,3.0,689.0,30.0,87.0,5.0,376.0,1.0
24.0,13,34838.0,2895.0,3.0,9.0,20.0,5.0,15.0,14.0,7.0,2.0,1958.0,15.0,74.0,5.0,392.0,1.0
39.0,24,73905.0,6241.0,2.0,4.0,10.0,0.0,6.0,5.0,3.0,3.0,1344.0,26.0,0.0,2.0,668.0,2.0
24.0,20,50552.0,4197.0,8.0,7.0,17.0,1.0,12.0,10.0,6.0,2.0,829.0,32.0,35.0,3.0,381.0,1.0
34.0,17,68690.0,5588.0,7.0,8.0,19.0,9.0,24.0,3.0,7.0,1.0,2042.0,0.0,380.0,5.0,207.0,0.0
31.0,4,9491.0,865.0,9.0,9.0,24.0,6.0,24.0,7.0,7.0,1.0,4836.0,0.0,26.0,1.0,257.0,0.0
41.0,27,22125.0,1632.0,2.0,4.0,12.0,4.0,5.0,0.0,2.0,3.0,828.0,22.0,66.0,2.0,252.0,2.0
27.0,23,69806.0,6055.0,3.0,4.0,19.0,0.0,19.0,0.0,4.0,2.0,192.0,18.0,0.0,2.0,327.0,1.0
26.0,20,113207.0,9137.0,1.0,5.0,3.0,3.0,1.0,10.0,0.0,3.0,1289.0,29.0,221.0,1.0,342.0,2.0
22.0,27,93293.0,7807.0,4.0,5.0,2.0,4.0,10.0,6.0,4.0,3.0,1448.0,24.0,156.0,6.0,775.0,2.0
37.0,19,81367.0,6943.0,5.0,5.0,7.0,2.0,13.0,4.0,1.0,2.0,1039.0,24.0,100.0,4.0,539.0,1.0
39.0,21,85020.0,6962.0,,5.0,7.0,3.0,8.0,4.0,3.0,3.0,934.0,15.0,205.0,5.0,450.0,0.0
18.0,13,172074.0,,2.0,6.0,11.0,3.0,9.0,15.0,5.0,3.0,59.0,21.0,391.0,2.0,500.0,1.0
34.0,19,16245.0,1080.0,3.0,5.0,6.0,0.0,0.0,2.0,7.0,3.0,744.0,28.0,0.0,2.0,323.0,2.0
46.0,18,29819.0,2413.0,7.0,5.0,16.0,4.0,8.0,9.0,3.0,2.0,1379.0,24.0,89.0,1.0,145.0,1.0
38.0,26,57035.0,4823.0,3.0,7.0,12.0,0.0,12.0,9.0,4.0,2.0,550.0,21.0,0.0,4.0,426.0,1.0
14.0,23,31563.0,2808.0,10.0,10.0,19.0,5.0,21.0,8.0,8.0,1.0,2241.0,13.0,99.0,5.0,349.0,0.0
18.0,16,114614.0,9369.0,6.0,6.0,9.0,3.0,10.0,9.0,1.0,2.0,1379.0,27.0,180.0,6.0,895.0,1.0
24.0,26,109905.0,9096.0,8.0,4.0,8.0,1.0,15.0,8.0,1.0,2.0,150.0,20.0,90.0,2.0,663.0,0.0
37.0,21,19054.0,1567.0,3.0,3.0,17.0,6.0,9.0,9.0,6.0,2.0,2097.0,12.0,86.0,2.0,218.0,0.0
26.0,24,40019.0,3049.0,7.0,6.0,16.0,9.0,20.0,20.0,11.0,1.0,4187.0,12.0,290.0,1.0,,1.0
21.0,27,69050.0,5722.0,3.0,3.0,10.0,0.0,13.0,8.0,3.0,3.0,1382.0,29.0,0.0,2.0,449.0,1.0
30.0,4,8753.0,919.0,7.0,6.0,21.0,8.0,24.0,6.0,12.0,1.0,2355.0,0.0,41.0,1.0,306.0,0.0
36.0,18,32364.0,2572.0,9.0,10.0,18.0,5.0,15.0,17.0,7.0,1.0,2527.0,9.0,113.0,5.0,321.0,0.0
55.0,27,139354.0,10872.0,3.0,3.0,18.0,0.0,16.0,4.0,3.0,2.0,519.0,20.0,760.0,4.0,855.0,1.0
36.0,12,27476.0,2301.0,7.0,4.0,20.0,4.0,13.0,12.0,5.0,2.0,566.0,0.0,73.0,3.0,281.0,1.0
27.0,18,14623.0,1232.0,9.0,5.0,15.0,7.0,16.0,19.0,8.0,1.0,3607.0,13.0,61.0,1.0,303.0,1.0
31.0,18,93957.0,8044.0,3.0,6.0,13.0,0.0,15.0,25.0,5.0,2.0,1344.0,16.0,0.0,2.0,798.0,1.0
23.0,12,77253.0,6301.0,2.0,7.0,12.0,2.0,5.0,4.0,4.0,3.0,565.0,20.0,85.0,1.0,299.0,1.0
23.0,27,19896.0,1434.0,5.0,4.0,20.0,4.0,18.0,12.0,6.0,2.0,2235.0,13.0,35.0,3.0,321.0,1.0
24.0,17,67204.0,5333.0,,6.0,12.0,2.0,4.0,0.0,2.0,3.0,1085.0,23.0,86.0,5.0,547.0,0.0
40.0,19,76374.0,6272.0,8.0,7.0,12.0,2.0,10.0,3.0,3.0,2.0,1060.0,29.0,66.0,6.0,672.0,1.0
25.0,16,41754.0,3679.0,6.0,9.0,23.0,5.0,15.0,9.0,6.0,1.0,1479.0,12.0,131.0,1.0,152.0,1.0
30.0,22,15440.0,1496.0,7.0,6.0,13.0,0.0,14.0,9.0,2.0,2.0,1277.0,18.0,0.0,1.0,331.0,1.0
43.0,10,19656.0,1672.0,7.0,5.0,5.0,4.0,17.0,16.0,7.0,2.0,786.0,10.0,48.0,1.0,221.0,1.0
14.0,4,43183.0,3851.0,6.0,6.0,13.0,4.0,10.0,14.0,8.0,2.0,263.0,19.0,106.0,4.0,303.0,1.0
42.0,20,38456.0,3086.0,6.0,4.0,9.0,2.0,18.0,8.0,3.0,2.0,313.0,24.0,39.0,6.0,471.0,1.0
41.0,15,14542.0,1070.0,7.0,5.0,16.0,3.0,15.0,18.0,10.0,1.0,1482.0,16.0,18.0,1.0,291.0,0.0
37.0,26,38117.0,3245.0,8.0,5.0,34.0,6.0,19.0,26.0,12.0,1.0,2639.0,7.0,143.0,4.0,300.0,0.0
44.0,12,8776.0,485.0,6.0,6.0,24.0,5.0,20.0,5.0,12.0,1.0,4311.0,8.0,26.0,2.0,277.0,1.0
19.0,10,113384.0,9507.0,2.0,4.0,8.0,3.0,9.0,5.0,3.0,3.0,680.0,22.0,149.0,2.0,155.0,0.0
42.0,4,43581.0,3679.0,,4.0,8.0,4.0,11.0,3.0,7.0,3.0,110.0,17.0,141.0,2.0,183.0,0.0
26.0,4,32835.0,2499.0,1.0,3.0,1.0,0.0,4.0,11.0,2.0,3.0,671.0,19.0,0.0,6.0,470.0,0.0
26.0,10,15610.0,1350.0,6.0,10.0,28.0,9.0,26.0,1.0,11.0,1.0,2072.0,15.0,78.0,4.0,230.0,0.0
17.0,20,65806.0,5626.0,4.0,7.0,20.0,7.0,18.0,12.0,7.0,2.0,2301.0,0.0,229.0,6.0,507.0,1.0
27.0,27,22147.0,1938.0,,4.0,4.0,1.0,5.0,10.0,7.0,3.0,947.0,20.0,9.0,1.0,298.0,1.0
43.0,26,31081.0,2305.0,7.0,7.0,22.0,9.0,26.0,18.0,12.0,1.0,2574.0,0.0,230.0,5.0,209.0,1.0
19.0,27,61279.0,4669.0,6.0,3.0,17.0,5.0,10.0,12.0,8.0,2.0,1836.0,9.0,430.0,5.0,423.0,1.0
45.0,13,10386.0,1095.0,7.0,10.0,15.0,5.0,21.0,24.0,15.0,1.0,3911.0,13.0,35.0,1.0,248.0,0.0
40.0,4,8283.0,764.0,8.0,4.0,17.0,5.0,10.0,14.0,6.0,2.0,1225.0,0.0,27.0,5.0,284.0,1.0
23.0,20,45253.0,3559.0,8.0,7.0,32.0,6.0,15.0,22.0,6.0,1.0,3970.0,4.0,184.0,5.0,359.0,1.0
53.0,10,78113.0,6486.0,,4.0,9.0,2.0,10.0,10.0,2.0,3.0,978.0,24.0,103.0,3.0,571.0,0.0
32.0,21,66614.0,5704.0,6.0,4.0,27.0,7.0,9.0,15.0,8.0,2.0,1287.0,11.0,241.0,6.0,522.0,0.0
26.0,4,45404.0,3821.0,9.0,8.0,22.0,7.0,20.0,17.0,11.0,2.0,2313.0,15.0,195.0,1.0,118.0,0.0
44.0,26,8083.0,738.0,4.0,8.0,32.0,4.0,14.0,14.0,8.0,2.0,1827.0,18.0,17.0,2.0,261.0,0.0
45.0,23,28766.0,2582.0,4.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,263.0,19.0,45.0,6.0,394.0,2.0
48.0,17,119321.0,9694.0,3.0,5.0,19.0,4.0,19.0,8.0,1.0,2.0,149.0,18.0,344.0,6.0,622.0,1.0
44.0,22,118644.0,10033.0,1.0,2.0,9.0,1.0,2.0,8.0,3.0,3.0,1100.0,31.0,53.0,6.0,1117.0,1.0
36.0,27,10086.0,711.0,6.0,6.0,27.0,3.0,20.0,16.0,5.0,2.0,1689.0,7.0,18.0,1.0,248.0,0.0
19.0,26,29625.0,2559.0,3.0,4.0,11.0,4.0,19.0,17.0,4.0,2.0,1042.0,6.0,92.0,1.0,224.0,1.0
26.0,21,98455.0,8420.0,4.0,4.0,12.0,3.0,20.0,9.0,158.0,2.0,424.0,22.0,238.0,5.0,712.0,1.0
46.0,20,38551.0,3380.0,,7.0,3.0,3.0,4.0,11.0,4.0,3.0,342.0,28.0,78.0,1.0,192.0,2.0
30.0,24,16380.0,1170.0,7.0,5.0,12.0,0.0,8.0,12.0,0.0,2.0,1307.0,16.0,0.0,1.0,362.0,1.0
30.0,19,17569.0,1216.0,7.0,3.0,19.0,6.0,16.0,12.0,12.0,2.0,1625.0,9.0,45.0,3.0,260.0,0.0
45.0,10,30592.0,2583.0,6.0,7.0,8.0,0.0,19.0,0.0,2.0,2.0,1288.0,19.0,0.0,6.0,472.0,1.0
55.0,4,28276.0,2449.0,5.0,4.0,10.0,4.0,9.0,10.0,4.0,2.0,123.0,0.0,50.0,1.0,389.0,1.0
34.0,10,17200.0,1185.0,8.0,9.0,27.0,4.0,10.0,7.0,9.0,2.0,1513.0,13.0,48.0,1.0,239.0,0.0
45.0,27,20645.0,1631.0,8.0,7.0,2.0,0.0,11.0,4.0,3.0,3.0,251.0,0.0,0.0,1.0,250.0,2.0
51.0,19,94070.0,7846.0,5.0,5.0,8.0,1.0,16.0,-0.0,0.0,2.0,1420.0,0.0,64.0,2.0,204.0,1.0
36.0,4,89122.0,7241.0,3.0,4.0,14.0,5.0,8.0,19.0,8.0,2.0,281.0,8.0,266.0,5.0,590.0,1.0
44.0,16,33226.0,2928.0,6.0,4.0,12.0,7.0,10.0,17.0,4.0,2.0,2090.0,5.0,168.0,5.0,330.0,1.0
36.0,12,49228.0,4210.0,9.0,7.0,15.0,7.0,21.0,14.0,8.0,1.0,2639.0,0.0,199.0,3.0,120.0,0.0
26.0,17,25795.0,1932.0,3.0,5.0,10.0,2.0,17.0,11.0,1.0,2.0,642.0,24.0,35.0,6.0,348.0,1.0
49.0,23,116224.0,9873.0,,3.0,8.0,1.0,0.0,5.0,0.0,3.0,1388.0,0.0,59.0,6.0,1050.0,1.0
44.0,23,41541.0,3199.0,3.0,4.0,12.0,4.0,10.0,11.0,2.0,3.0,1052.0,15.0,87.0,5.0,423.0,1.0
52.0,21,84602.0,6800.0,2.0,4.0,11.0,0.0,12.0,13.0,3.0,3.0,806.0,0.0,0.0,6.0,753.0,2.0
30.0,12,36186.0,2797.0,,4.0,12.0,1.0,10.0,7.0,2.0,3.0,761.0,29.0,18.0,5.0,411.0,0.0
20.0,24,28187.0,2201.0,6.0,5.0,12.0,4.0,14.0,15.0,4.0,2.0,321.0,15.0,83.0,4.0,325.0,1.0
22.0,18,41797.0,3618.0,1.0,1.0,3.0,3.0,1.0,8.0,4.0,3.0,1253.0,30.0,73.0,1.0,177.0,2.0
34.0,17,58166.0,5117.0,6.0,8.0,28.0,9.0,17.0,27.0,9.0,1.0,3331.0,8.0,319.0,5.0,349.0,0.0
16.0,16,108884.0,8805.0,8.0,4.0,16.0,6.0,11.0,7.0,7.0,2.0,769.0,5.0,352.0,2.0,280.0,1.0
34.0,19,101275.0,8537.0,4.0,7.0,6.0,0.0,10.0,16.0,6.0,2.0,616.0,32.0,0.0,1.0,818.0,1.0
39.0,19,46248.0,3884.0,8.0,7.0,14.0,7.0,8.0,18.0,6.0,2.0,214.0,15.0,207.0,6.0,346.0,1.0
22.0,23,93312.0,7898.0,3.0,3.0,13.0,2.0,15.0,8.0,0.0,2.0,555.0,31.0,126.0,6.0,761.0,1.0
35.0,24,22410.0,2071.0,7.0,5.0,14.0,2.0,16.0,11.0,0.0,2.0,33.0,29.0,31.0,1.0,363.0,1.0
36.0,15,43108.0,3362.0,3.0,6.0,8.0,0.0,14.0,11.0,4.0,3.0,905.0,28.0,0.0,5.0,537.0,2.0
40.0,24,29346.0,2368.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,718.0,31.0,18.0,4.0,329.0,0.0
41.0,20,17725.0,1691.0,5.0,9.0,20.0,6.0,19.0,16.0,10.0,2.0,2074.0,7.0,83.0,6.0,286.0,0.0
30.0,18,120671.0,9851.0,4.0,3.0,3.0,4.0,9.0,10.0,3.0,3.0,755.0,15.0,320.0,2.0,38.0,2.0
38.0,23,15496.0,1059.0,7.0,7.0,25.0,7.0,19.0,8.0,11.0,1.0,1883.0,0.0,72.0,3.0,267.0,0.0
44.0,27,18110.0,1733.0,6.0,8.0,20.0,7.0,18.0,4.0,9.0,1.0,1834.0,5.0,100.0,1.0,132.0,0.0
27.0,17,17685.0,1186.0,6.0,9.0,22.0,3.0,17.0,12.0,7.0,2.0,2382.0,12.0,40.0,2.0,256.0,1.0
27.0,18,65017.0,5248.0,5.0,7.0,12.0,4.0,10.0,7.0,5.0,2.0,978.0,0.0,168.0,1.0,289.0,1.0
42.0,12,20562.0,1651.0,5.0,6.0,31.0,2.0,13.0,11.0,9.0,2.0,2491.0,10.0,28.0,5.0,357.0,0.0
31.0,18,15828.0,1480.0,8.0,5.0,18.0,5.0,12.0,17.0,8.0,2.0,1333.0,18.0,35.0,2.0,333.0,1.0
22.0,19,22320.0,1966.0,,7.0,9.0,3.0,2.0,4.0,4.0,3.0,983.0,18.0,40.0,1.0,371.0,0.0
30.0,27,12186.0,991.0,6.0,5.0,8.0,1.0,20.0,8.0,1.0,3.0,176.0,18.0,9.0,1.0,311.0,2.0
45.0,26,15131.0,1321.0,7.0,8.0,15.0,9.0,16.0,18.0,7.0,1.0,2776.0,1.0,86.0,2.0,233.0,0.0
14.0,19,37777.0,3055.0,3.0,4.0,20.0,5.0,20.0,18.0,9.0,2.0,1336.0,8.0,100.0,1.0,181.0,0.0
27.0,15,91018.0,7746.0,4.0,7.0,11.0,2.0,15.0,5.0,0.0,3.0,666.0,23.0,118.0,1.0,159.0,0.0
32.0,16,131990.0,11107.0,5.0,4.0,8.0,0.0,15.0,10.0,0.0,2.0,647.0,22.0,0.0,2.0,969.0,0.0
19.0,23,18811.0,1782.0,5.0,3.0,8.0,4.0,5.0,5.0,0.0,3.0,19.0,26.0,50.0,6.0,333.0,2.0
15.0,10,73099.0,6075.0,6.0,8.0,26.0,3.0,16.0,8.0,9.0,1.0,1806.0,7.0,155.0,4.0,494.0,1.0
26.0,4,59112.0,4802.0,5.0,7.0,8.0,3.0,6.0,10.0,4.0,2.0,1421.0,22.0,112.0,2.0,238.0,1.0
53.0,20,32504.0,2643.0,4.0,7.0,3.0,1.0,9.0,7.0,5.0,3.0,315.0,26.0,19.0,3.0,439.0,0.0
16.0,10,15286.0,1383.0,6.0,9.0,20.0,7.0,18.0,25.0,,1.0,2625.0,0.0,74.0,2.0,288.0,1.0
24.0,26,7567.0,809.0,10.0,5.0,20.0,5.0,20.0,22.0,11.0,1.0,4693.0,12.0,27.0,1.0,273.0,1.0
16.0,15,50050.0,4085.0,9.0,10.0,20.0,5.0,16.0,12.0,8.0,1.0,3419.0,4.0,190.0,5.0,310.0,0.0
34.0,17,49128.0,4231.0,8.0,3.0,29.0,6.0,12.0,13.0,7.0,2.0,2574.0,14.0,169.0,5.0,413.0,1.0
26.0,18,14411.0,938.0,10.0,9.0,29.0,9.0,22.0,21.0,7.0,1.0,4716.0,0.0,56.0,1.0,232.0,1.0
34.0,18,22438.0,1856.0,7.0,7.0,9.0,4.0,13.0,8.0,3.0,2.0,167.0,28.0,58.0,3.0,251.0,1.0
34.0,21,28070.0,2437.0,3.0,3.0,12.0,4.0,17.0,4.0,7.0,2.0,1483.0,8.0,63.0,1.0,243.0,1.0
20.0,23,35295.0,2675.0,1.0,6.0,7.0,4.0,8.0,0.0,2.0,3.0,1088.0,29.0,112.0,3.0,191.0,1.0
47.0,10,32390.0,2580.0,3.0,6.0,5.0,0.0,17.0,8.0,2.0,2.0,596.0,0.0,0.0,3.0,331.0,1.0
19.0,26,19826.0,1805.0,6.0,3.0,33.0,5.0,13.0,11.0,8.0,2.0,2052.0,5.0,45.0,6.0,349.0,1.0
